iter	Logloss
0	0.316729911
1	0.163168129
2	0.08562873746
3	0.046616929
4	0.02364326585
5	0.01205486105
6	0.006747788304
7	0.003584608029
8	0.002112795793
9	0.001362868083
10	0.0009256645508
11	0.0006748355194
12	0.0005057146756
13	0.0003963142465
14	0.0003290077319
15	0.0002719769407
16	0.0002300807351
17	0.0001934590286
18	0.0001662797675
19	0.0001449495479
20	0.0001340582881
21	0.0001234226794
22	0.0001071561952
23	0.0001071612732
24	9.811394125e-05
25	9.811394125e-05
26	9.811394125e-05
27	9.811806475e-05
28	9.811806475e-05
29	9.811806475e-05
30	9.810873943e-05
31	9.810873943e-05
32	9.810873943e-05
33	9.810537162e-05
34	9.810537162e-05
35	8.997756601e-05
36	8.997756601e-05
37	8.997756601e-05
38	8.998187301e-05
39	8.998187301e-05
40	8.998793076e-05
41	8.998793076e-05
42	8.997808347e-05
43	8.996409218e-05
44	8.996520386e-05
45	8.996646215e-05
46	8.995435356e-05
47	8.99562259e-05
48	8.994390946e-05
49	8.995417072e-05
50	8.993399471e-05
51	8.992711333e-05
52	8.993830363e-05
53	8.993727733e-05
54	8.993727733e-05
55	8.993727733e-05
56	8.993727733e-05
57	8.993727733e-05
58	8.993716522e-05
59	8.993157212e-05
60	8.992777051e-05
61	8.991332232e-05
62	8.991140944e-05
63	8.552745675e-05
64	8.552745675e-05
65	8.552745675e-05
66	8.552834631e-05
67	8.552811604e-05
68	8.552811604e-05
69	8.552607811e-05
70	8.552607811e-05
71	8.550598854e-05
72	8.550833628e-05
73	8.550833628e-05
74	8.551153247e-05
75	8.549996932e-05
76	8.550481362e-05
77	8.550481362e-05
78	8.550017545e-05
79	8.549749931e-05
80	8.549477832e-05
81	8.54935666e-05
82	8.54935666e-05
83	8.228457081e-05
84	8.227817068e-05
85	8.22886553e-05
86	8.228048498e-05
87	8.227949232e-05
88	8.228097916e-05
89	8.227574484e-05
90	8.226249332e-05
91	8.225676761e-05
92	8.225676761e-05
93	8.225971695e-05
94	8.225971695e-05
95	8.225659493e-05
96	8.2255955e-05
97	8.224460535e-05
98	8.224460535e-05
99	8.22472375e-05
100	8.22472375e-05
101	8.224034837e-05
102	8.224185418e-05
103	8.224185418e-05
104	8.224024162e-05
105	8.224024162e-05
106	8.2238929e-05
107	8.2238929e-05
108	7.903870837e-05
109	7.523216503e-05
110	7.523339917e-05
111	7.522777178e-05
112	7.522777178e-05
113	7.522777178e-05
114	7.522777178e-05
115	7.522567347e-05
116	7.522567347e-05
117	7.522567347e-05
118	7.522567347e-05
119	7.523251259e-05
120	7.523251259e-05
121	7.523251259e-05
122	7.522016596e-05
123	7.522016596e-05
124	7.522016596e-05
125	7.522756135e-05
126	7.521612028e-05
127	7.521115955e-05
128	7.52159728e-05
129	7.521153298e-05
130	7.520980897e-05
131	7.520980897e-05
132	7.520980897e-05
133	7.520831696e-05
134	7.520937948e-05
135	7.520937948e-05
136	7.519917859e-05
137	7.520474734e-05
138	7.520101213e-05
139	7.520087587e-05
140	7.519991339e-05
141	7.519429721e-05
142	7.519560638e-05
143	7.519233689e-05
144	7.519245418e-05
145	7.519691384e-05
146	7.519796256e-05
147	7.518411874e-05
148	7.518845421e-05
149	7.517640253e-05
150	7.518295187e-05
151	7.517902798e-05
152	7.517131608e-05
153	7.516882537e-05
154	7.516048907e-05
155	7.516350069e-05
156	7.515325668e-05
157	7.515342227e-05
158	7.514855966e-05
159	7.514153187e-05
160	7.514157911e-05
161	7.513591291e-05
162	7.514336004e-05
163	7.512420017e-05
164	7.513181203e-05
165	7.512372238e-05
166	7.511937226e-05
167	7.510916945e-05
168	7.511680114e-05
169	7.510665804e-05
170	7.510529021e-05
171	7.510820803e-05
172	7.509389074e-05
173	7.509525166e-05
174	7.509829865e-05
175	7.510085059e-05
176	7.508691967e-05
177	7.509321631e-05
178	7.50902228e-05
179	7.508946472e-05
180	7.508921289e-05
181	7.508951043e-05
182	7.509889545e-05
183	7.508314824e-05
184	7.508608138e-05
185	7.50843177e-05
186	7.508962254e-05
187	7.507508188e-05
188	7.507839257e-05
189	7.507962845e-05
190	7.508449344e-05
191	7.508112908e-05
192	7.508127052e-05
193	7.507788374e-05
194	7.507776127e-05
195	7.506972079e-05
196	7.507377941e-05
197	7.507292818e-05
198	7.507630999e-05
199	7.507132166e-05
200	7.507002025e-05
201	7.50736511e-05
202	7.507768471e-05
203	7.506826174e-05
204	7.50673122e-05
205	7.506573567e-05
206	7.507100687e-05
207	7.506462054e-05
208	7.506487668e-05
209	7.506280856e-05
210	7.506993573e-05
211	7.507162438e-05
212	7.505839634e-05
213	7.505849811e-05
214	7.505792028e-05
215	7.505924843e-05
216	7.505975899e-05
217	7.505755547e-05
218	7.505822558e-05
219	7.505949144e-05
220	7.505519259e-05
221	7.505706839e-05
222	7.505789374e-05
223	7.505259772e-05
224	7.505901596e-05
225	7.504707037e-05
226	7.505015875e-05
227	7.504696429e-05
228	7.504057987e-05
229	7.503176406e-05
230	7.503864888e-05
231	7.503431753e-05
232	7.502269104e-05
233	7.50304245e-05
234	7.501877213e-05
235	7.502634259e-05
236	7.501806407e-05
237	7.502309121e-05
238	7.50176432e-05
239	7.501521114e-05
240	7.501409946e-05
241	7.501771565e-05
242	7.501562769e-05
243	7.501593472e-05
244	7.501318269e-05
245	7.501190628e-05
246	7.501481183e-05
247	7.500615815e-05
248	7.501217709e-05
249	7.501067386e-05
250	7.500762602e-05
251	7.500892743e-05
252	7.500289124e-05
253	7.50078261e-05
254	7.500400206e-05
255	7.500440654e-05
256	7.500731468e-05
257	7.499894388e-05
258	7.500245485e-05
259	7.500211333e-05
260	7.499833931e-05
261	7.499017463e-05
262	7.499778045e-05
263	7.499404007e-05
264	7.500301975e-05
265	7.500321035e-05
266	7.499561488e-05
267	7.499383481e-05
268	7.500183045e-05
269	7.49915071e-05
270	7.499458599e-05
271	7.499079817e-05
272	7.499425137e-05
273	7.49934079e-05
274	7.498715697e-05
275	7.498312336e-05
276	7.498882578e-05
277	7.498768823e-05
278	7.498620657e-05
279	7.498246532e-05
280	7.499097325e-05
281	7.498087068e-05
282	7.49911052e-05
283	7.498876628e-05
284	7.498412033e-05
285	7.497579093e-05
286	7.497964429e-05
287	7.497839635e-05
288	7.496598245e-05
289	7.496746412e-05
290	7.497755979e-05
291	7.497804448e-05
292	7.496900788e-05
293	7.497433169e-05
294	7.496739512e-05
295	7.497225236e-05
296	7.496810922e-05
297	7.496441627e-05
298	7.496905359e-05
299	7.49585405e-05
300	7.496222051e-05
301	7.496579185e-05
302	7.495815997e-05
303	7.495734324e-05
304	7.494833424e-05
305	7.495460414e-05
306	7.494791768e-05
307	7.495096639e-05
308	7.494960978e-05
309	7.494390649e-05
310	7.495009619e-05
311	7.493816871e-05
312	7.493910187e-05
313	7.494046106e-05
314	7.493211853e-05
315	7.494197703e-05
316	7.493352257e-05
317	7.49302893e-05
318	7.492877832e-05
319	7.491632561e-05
320	7.490956537e-05
321	7.491145065e-05
322	7.49061346e-05
323	7.489720839e-05
324	7.489644686e-05
325	7.489041068e-05
326	7.489046329e-05
327	7.488328696e-05
328	7.487879732e-05
329	7.48864178e-05
330	7.487082669e-05
331	7.487088706e-05
332	7.487704398e-05
333	7.487459553e-05
334	7.486926654e-05
335	7.485616375e-05
336	7.4859416e-05
337	7.485800937e-05
338	7.485358076e-05
339	7.485220259e-05
340	7.48530357e-05
341	7.484767653e-05
342	7.484615346e-05
343	7.484736154e-05
344	7.484782036e-05
345	7.484718819e-05
346	7.483728829e-05
347	7.483495886e-05
348	7.48311973e-05
349	7.484349391e-05
350	7.482788296e-05
351	7.483872809e-05
352	7.48310757e-05
353	7.482905329e-05
354	7.482945605e-05
355	7.482753282e-05
356	7.481783559e-05
357	7.482624779e-05
358	7.482581139e-05
359	7.482071871e-05
360	7.481753029e-05
361	7.481392531e-05
362	7.482252877e-05
363	7.481570537e-05
364	7.481703439e-05
365	7.482097658e-05
366	7.481807793e-05
367	7.480173803e-05
368	7.480244715e-05
369	7.479394354e-05
370	7.479224732e-05
371	7.479711836e-05
372	7.479445947e-05
373	7.477894857e-05
374	7.478601536e-05
375	7.47814962e-05
376	7.478671825e-05
377	7.477743154e-05
378	7.477893563e-05
379	7.478696922e-05
380	7.477309694e-05
381	7.477698998e-05
382	7.477462863e-05
383	7.477276404e-05
384	7.477018795e-05
385	7.476348769e-05
386	7.476654243e-05
387	7.476212849e-05
388	7.476026045e-05
389	7.476581971e-05
390	7.476259507e-05
391	7.47609573e-05
392	7.475728591e-05
393	7.475243902e-05
394	7.475964812e-05
395	7.47536266e-05
396	7.475434846e-05
397	7.475034072e-05
398	7.474430971e-05
399	7.474302554e-05
400	7.474571893e-05
401	7.474571893e-05
402	7.474571893e-05
403	7.474571893e-05
404	7.474571893e-05
405	7.474571893e-05
406	7.474571893e-05
407	7.474571893e-05
408	7.474571893e-05
409	7.474571893e-05
410	7.474571893e-05
411	7.474571893e-05
412	7.474571893e-05
413	7.474571893e-05
414	7.474571893e-05
415	7.474571893e-05
416	7.474571893e-05
417	7.474571893e-05
418	7.474571893e-05
419	7.474571893e-05
420	7.474571893e-05
421	7.474571893e-05
422	7.474571893e-05
423	7.474571893e-05
424	7.474571893e-05
425	7.474571893e-05
426	7.474571893e-05
427	7.474571893e-05
428	7.474571893e-05
429	7.474571893e-05
430	7.474571893e-05
431	7.474571893e-05
432	7.474571893e-05
433	7.474571893e-05
434	7.474571893e-05
435	7.474571893e-05
436	7.474571893e-05
437	7.474571893e-05
438	7.474571893e-05
439	7.474571893e-05
440	7.474571893e-05
441	7.474571893e-05
442	7.474571893e-05
443	7.474571893e-05
444	7.474571893e-05
445	7.474571893e-05
446	7.474571893e-05
447	7.474571893e-05
448	7.474571893e-05
449	7.474571893e-05
450	7.474571893e-05
451	7.474571893e-05
452	7.474571893e-05
453	7.474571893e-05
454	7.474571893e-05
455	7.474571893e-05
456	7.474571893e-05
457	7.474571893e-05
458	7.474571893e-05
459	7.474571893e-05
460	7.474571893e-05
461	7.474571893e-05
462	7.474571893e-05
463	7.474571893e-05
464	7.474571893e-05
465	7.474571893e-05
466	7.474571893e-05
467	7.474571893e-05
468	7.474571893e-05
469	7.474571893e-05
470	7.474571893e-05
471	7.474571893e-05
472	7.474571893e-05
473	7.474571893e-05
474	7.474571893e-05
475	7.474571893e-05
476	7.474571893e-05
477	7.474571893e-05
478	7.474571893e-05
479	7.474571893e-05
480	7.474571893e-05
481	7.474571893e-05
482	7.474571893e-05
483	7.474571893e-05
484	7.474571893e-05
485	7.474571893e-05
486	7.474571893e-05
487	7.474571893e-05
488	7.474571893e-05
489	7.474571893e-05
490	7.474571893e-05
491	7.474571893e-05
492	7.474571893e-05
493	7.474571893e-05
494	7.474571893e-05
495	7.474571893e-05
496	7.474571893e-05
497	7.474571893e-05
498	7.474571893e-05
499	7.474571893e-05
